idVariavelAleatoria;idVariavelAleatoriaInterna;AttMatriz;Iteradores;02/01/2019;03/01/2019;04/01/2019;05/01/2019;06/01/2019;07/01/2019;08/01/2019;09/01/2019;10/01/2019;11/01/2019;12/01/2019
1;1;tendencia_temporal;1;86;134;76;57;45;37;33;32;40;53;101
1;2;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
1;3;tendencia_temporal;1;146;215;127;87;69;54;46;42;46;100;158
1;4;tendencia_temporal;1;515;943;572;381;243;194;151;133;132;277;467
1;5;tendencia_temporal;1;134;235;182;113;83;64;56;41;45;56;106
1;6;tendencia_temporal;1;29;54;43;27;20;15;13;9;10;12;23
1;7;tendencia_temporal;1;11;23;18;12;9;7;6;4;5;4;9
1;8;tendencia_temporal;1;34;65;51;32;24;18;15;10;13;14;27
1;9;tendencia_temporal;1;80;143;112;70;51;40;35;26;28;33;66
1;10;tendencia_temporal;1;159;289;228;155;112;85;68;52;49;64;119
1;11;tendencia_temporal;1;48;83;68;45;31;28;25;25;22;34;43
1;12;tendencia_temporal;1;28;53;43;28;20;19;16;16;14;21;27
1;13;tendencia_temporal;1;1;2;1;1;-1;-3;0;0;1;0;1
1;14;tendencia_temporal;1;375;743;543;372;300;263;204;170;151;225;366
1;15;tendencia_temporal;1;236;424;325;220;182;165;160;126;129;114;313
2;16;tendencia_temporal;1;89;139;136;86;53;39;31;19;14;27;69
2;17;tendencia_temporal;1;56;86;86;54;33;24;20;12;9;16;43
2;18;tendencia_temporal;1;220;399;253;196;130;97;78;64;51;96;249
2;19;tendencia_temporal;1;334;532;314;228;163;130;103;85;86;106;255
2;20;tendencia_temporal;1;8;15;13;9;6;5;3;2;4;3;13
2;21;tendencia_temporal;1;0;2;2;1;1;0;1;0;0;0;1
2;22;tendencia_temporal;1;-1;4;6;3;3;2;1;0;2;1;3
2;23;tendencia_temporal;1;91;154;168;91;57;41;31;23;23;38;81
2;24;tendencia_temporal;1;177;275;303;203;128;95;70;47;44;81;180
2;25;tendencia_temporal;1;256;329;302;184;127;91;67;57;73;83;311
2;26;tendencia_temporal;1;84;94;93;61;49;43;37;26;27;24;74
2;27;tendencia_temporal;1;1108;1212;1204;758;553;479;416;293;288;346;966
2;124;tendencia_temporal;1;19;30;34;23;14;11;8;5;4;9;20
3;29;tendencia_temporal;1;351;529;376;232;206;233;136;144;102;205;299
3;30;tendencia_temporal;1;37;97;57;51;45;43;37;35;33;35;52
3;31;tendencia_temporal;1;98;163;115;95;82;83;69;66;63;75;95
3;32;tendencia_temporal;1;80;147;83;65;56;54;61;48;40;48;92
3;33;tendencia_temporal;1;36;57;35;25;22;22;24;19;17;19;36
3;34;tendencia_temporal;1;5;55;31;21;17;13;12;3;5;-3;39
6;37;tendencia_temporal;1;132;223;144;137;219;160;87;108;60;117;187
6;38;tendencia_temporal;1;3;5;3;3;7;3;2;2;2;3;5
6;39;tendencia_temporal;1;67;99;67;62;130;67;46;42;29;85;114
6;40;tendencia_temporal;1;101;155;104;95;96;88;67;61;43;64;89
6;41;tendencia_temporal;1;7;13;8;7;7;6;5;4;3;4;8
6;42;tendencia_temporal;1;16;27;18;16;15;12;11;10;8;9;15
6;44;tendencia_temporal;1;246;439;233;149;345;219;188;210;137;147;334
6;45;tendencia_temporal;1;43;75;49;39;61;47;34;33;31;18;73
6;46;tendencia_temporal;1;114;165;117;98;136;109;81;77;71;54;169
6;133;tendencia_temporal;1;4;6;4;3;4;4;3;2;2;1;5
5;28;tendencia_temporal;1;329;473;365;283;201;146;146;56;64;103;590
5;35;tendencia_temporal;1;366;480;482;483;413;416;364;191;323;359;503
5;36;tendencia_temporal;1;708;1289;989;970;696;639;566;684;498;316;944
4;51;tendencia_temporal;1;483;691;589;711;1613;392;179;313;301;331;380
4;52;tendencia_temporal;1;77;137;89;167;158;66;45;28;36;61;66
4;53;tendencia_temporal;1;-15;9;-21;2;97;-5;-8;-17;-5;-1;9
4;54;tendencia_temporal;1;30;60;22;43;138;26;10;2;6;16;28
4;55;tendencia_temporal;1;242;330;189;493;601;125;53;32;37;115;166
4;56;tendencia_temporal;1;86;121;66;160;243;50;20;11;13;41;69
