idVariavelAleatoria;idVariavelAleatoriaInterna;nome;
1;1;IdHidreletrica_1;
2;1;IdHidreletrica_2;
3;1;IdHidreletrica_3;
4;1;IdHidreletrica_4;
5;1;IdHidreletrica_5;
6;1;IdHidreletrica_6;
7;1;IdHidreletrica_7;
8;1;IdHidreletrica_8;
9;1;IdHidreletrica_9;
10;1;IdHidreletrica_10;
11;1;IdHidreletrica_11;
12;1;IdHidreletrica_12;
13;1;IdHidreletrica_13;
14;1;IdHidreletrica_14;
15;1;IdHidreletrica_15;
16;1;IdHidreletrica_16;
17;1;IdHidreletrica_17;
18;1;IdHidreletrica_18;
19;1;IdHidreletrica_19;
20;1;IdHidreletrica_20;
21;1;IdHidreletrica_21;
22;1;IdHidreletrica_22;
23;1;IdHidreletrica_23;
24;1;IdHidreletrica_24;
25;1;IdHidreletrica_25;
26;1;IdHidreletrica_26;
27;1;IdHidreletrica_27;
28;1;IdHidreletrica_28;
29;1;IdHidreletrica_29;
30;1;IdHidreletrica_30;
31;1;IdHidreletrica_31;
32;1;IdHidreletrica_32;
33;1;IdHidreletrica_33;
34;1;IdHidreletrica_34;
35;1;IdHidreletrica_35;
36;1;IdHidreletrica_36;
37;1;IdHidreletrica_37;
38;1;IdHidreletrica_38;
39;1;IdHidreletrica_39;
40;1;IdHidreletrica_40;
41;1;IdHidreletrica_41;
42;1;IdHidreletrica_42;
43;1;IdHidreletrica_43;
44;1;IdHidreletrica_44;
45;1;IdHidreletrica_45;
46;1;IdHidreletrica_46;
47;1;IdHidreletrica_47;
48;1;IdHidreletrica_48;
49;1;IdHidreletrica_49;
50;1;IdHidreletrica_50;
51;1;IdHidreletrica_51;
52;1;IdHidreletrica_52;
53;1;IdHidreletrica_53;
54;1;IdHidreletrica_54;
55;1;IdHidreletrica_55;
56;1;IdHidreletrica_56;
57;1;IdHidreletrica_57;
58;1;IdHidreletrica_58;
59;1;IdHidreletrica_59;
60;1;IdHidreletrica_60;
61;1;IdHidreletrica_61;
62;1;IdHidreletrica_62;
63;1;IdHidreletrica_63;
64;1;IdHidreletrica_64;
65;1;IdHidreletrica_65;
66;1;IdHidreletrica_66;
67;1;IdHidreletrica_67;
68;1;IdHidreletrica_68;
69;1;IdHidreletrica_69;
70;1;IdHidreletrica_70;
71;1;IdHidreletrica_71;
72;1;IdHidreletrica_72;
73;1;IdHidreletrica_73;
74;1;IdHidreletrica_74;
75;1;IdHidreletrica_75;
76;1;IdHidreletrica_76;
77;1;IdHidreletrica_77;
78;1;IdHidreletrica_78;
79;1;IdHidreletrica_79;
80;1;IdHidreletrica_80;
81;1;IdHidreletrica_81;
82;1;IdHidreletrica_82;
83;1;IdHidreletrica_83;
84;1;IdHidreletrica_84;
85;1;IdHidreletrica_85;
86;1;IdHidreletrica_86;
87;1;IdHidreletrica_87;
88;1;IdHidreletrica_88;
89;1;IdHidreletrica_89;
90;1;IdHidreletrica_90;
91;1;IdHidreletrica_91;
92;1;IdHidreletrica_92;
93;1;IdHidreletrica_93;
94;1;IdHidreletrica_94;
95;1;IdHidreletrica_95;
96;1;IdHidreletrica_96;
97;1;IdHidreletrica_97;
98;1;IdHidreletrica_98;
99;1;IdHidreletrica_99;
100;1;IdHidreletrica_100;
101;1;IdHidreletrica_101;
102;1;IdHidreletrica_102;
103;1;IdHidreletrica_103;
104;1;IdHidreletrica_104;
105;1;IdHidreletrica_105;
106;1;IdHidreletrica_106;
107;1;IdHidreletrica_107;
108;1;IdHidreletrica_108;
109;1;IdHidreletrica_109;
110;1;IdHidreletrica_110;
111;1;IdHidreletrica_111;
112;1;IdHidreletrica_112;
113;1;IdHidreletrica_113;
114;1;IdHidreletrica_114;
115;1;IdHidreletrica_115;
116;1;IdHidreletrica_116;
117;1;IdHidreletrica_117;
118;1;IdHidreletrica_118;
119;1;IdHidreletrica_119;
120;1;IdHidreletrica_120;
121;1;IdHidreletrica_121;
122;1;IdHidreletrica_122;
123;1;IdHidreletrica_123;
124;1;IdHidreletrica_124;
125;1;IdHidreletrica_125;
126;1;IdHidreletrica_126;
127;1;IdHidreletrica_127;
128;1;IdHidreletrica_128;
129;1;IdHidreletrica_129;
130;1;IdHidreletrica_130;
131;1;IdHidreletrica_131;
132;1;IdHidreletrica_132;
133;1;IdHidreletrica_133;
134;1;IdHidreletrica_134;
135;1;IdHidreletrica_135;
136;1;IdHidreletrica_136;
137;1;IdHidreletrica_137;
138;1;IdHidreletrica_138;
139;1;IdHidreletrica_139;
140;1;IdHidreletrica_140;
141;1;IdHidreletrica_141;
142;1;IdHidreletrica_142;
143;1;IdHidreletrica_143;
144;1;IdHidreletrica_144;
145;1;IdHidreletrica_145;
146;1;IdHidreletrica_146;
147;1;IdHidreletrica_147;
148;1;IdHidreletrica_148;
149;1;IdHidreletrica_149;
150;1;IdHidreletrica_150;
151;1;IdHidreletrica_151;
152;1;IdHidreletrica_152;
153;1;IdHidreletrica_153;
154;1;IdHidreletrica_154;
155;1;IdHidreletrica_155;
156;1;IdHidreletrica_156;
157;1;IdHidreletrica_157;
158;1;IdHidreletrica_158;
159;1;IdHidreletrica_159;
160;1;IdHidreletrica_160;
161;1;IdHidreletrica_161;
162;1;IdHidreletrica_162;
163;1;IdHidreletrica_163;
